date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20230420,65300,5,-200,-0.31,9501169,-828517,-1115010,547125,711125,3080713573,51.61,630125,261788,17022
20230419,65500,5,-100,-0.15,10254291,-971232,-273424,851576,204228,3079372323,51.58,-986424,304221,19925
20230418,65600,2,300,0.46,14786758,-657954,-5143872,1672443,2070735,3080154519,51.60,2222443,509246,33287
20230417,65300,2,200,0.31,13486618,-1659936,-3652337,1612567,1876713,3075861341,51.52,1573567,244942,15963
20230414,65100,5,-1000,-1.51,15520395,1021366,1701849,-564566,-1106373,3072411061,51.47,-529566,416692,27446
20230413,66100,2,100,0.15,14618096,-1114819,898168,-179918,199499,3074047000,51.49,-165918,942689,62078
20230412,66000,2,100,0.15,14800565,-1956503,-2708757,2288490,1172840,3074013419,51.49,3015459,371522,24413
20230411,65900,2,200,0.30,16204548,-2302597,1721005,1629815,-480936,3069825120,51.42,1331815,560917,36894
20230410,65700,2,700,1.08,18758406,-4398039,-3225980,1382420,3150543,3068974241,51.41,897452,610201,39974
20230407,65000,2,2700,4.33,27476120,-15186575,-9929043,1933756,11678793,3064926246,51.34,2754756,499171,32315
20230406,62300,5,-1600,-2.50,14992747,2055160,-1927636,-361317,91877,3050492697,51.10,284136,505314,31866
20230405,63900,2,300,0.47,9066149,-2226083,-2458501,157509,2287253,3050116684,51.09,244407,477136,30390
20230404,63600,2,500,0.79,11104517,-2096760,-14218,1565608,312194,3047585024,51.05,1801508,286562,18186
20230403,63100,5,-900,-1.41,11967331,575196,-1826233,663962,275544,3045471322,51.01,2784962,534115,33875
20230331,64000,2,800,1.27,13399502,-5315825,-1696303,2906111,2109800,3042410816,50.96,3887846,409099,26136
20230330,63200,2,500,0.80,15085857,-2938766,-1330158,2450485,913664,3036413170,50.86,-1300774,750341,47577
20230329,62700,5,-200,-0.32,11098114,-492173,212387,-1528438,904290,3036800280,50.87,-4347196,347894,21730
20230328,62900,2,800,1.29,11547657,-1709847,1099413,-688536,680628,3040243186,50.93,-438536,186376,11668
20230327,62100,5,-900,-1.43,11039331,-397518,1242628,791664,-836704,3040001094,50.92,588764,311392,19423
20230324,63000,2,700,1.12,17494809,-5456497,-5880077,3369645,4033229,3040249034,50.93,2498009,924775,57910
20230323,62300,2,1200,1.96,15375389,-4808757,-1474793,1698069,2366262,3033717796,50.82,1195381,376473,23280
20230322,61100,2,800,1.33,8976554,-2431771,96494,1041432,672848,3030156153,50.76,869273,123564,7519
20230321,60300,2,100,0.17,8316048,-59601,766931,-105771,-308745,3028614032,50.73,817969,315087,19005
20230320,60200,5,-1100,-1.79,9609319,1269694,1807354,126721,-1611446,3028104808,50.72,-275377,991923,60160
20230317,61300,2,1400,2.34,13882536,-3328916,-1472262,1624262,1600101,3029991631,50.76,1074149,240627,14706
20230316,59900,2,100,0.17,10609439,-16071,-485069,306876,104349,3027317381,50.71,1254922,251986,14987
