,date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
221,20220830,58800,2,200,0.34,9690044,20142847,-21140298,298589,-4839595,2971425254,49.77,-179054,5858002,355734
222,20220829,58600,5,-1400,-2.33,9841329,17854838,-20699399,2197996,-3210958,2972909661,49.80,1305353,5282181,321915
223,20220826,60000,2,300,0.50,9499995,14324222,-17672057,2755305,-2224476,2974158300,49.82,2553992,5094969,310624
224,20220825,59700,2,700,1.19,5767902,15301823,-17890574,2063930,-1860873,2973294725,49.81,1690417,5032984,306935
225,20220824,59000,5,-100,-0.17,8888486,15687534,-17613548,1468191,-1689368,2973086966,49.80,1482658,4936412,301222
226,20220823,59100,5,-900,-1.50,9041629,14028521,-15769361,1331965,-83190,2972803760,49.80,1199452,4874652,297562
227,20220822,60000,5,-900,-1.48,8259865,11635212,-14371526,2296384,972909,2973455175,49.81,1850867,4760137,290686
228,20220819,60900,5,-600,-0.98,6923679,10211126,-13121362,2492229,1315593,2973627030,49.81,2022722,4698146,286908
229,20220818,61500,2,1100,1.82,16372754,9578999,-12780677,2803770,2044594,2973522571,49.81,1918263,4597977,280794
230,20220817,60400,5,-600,-0.98,9061518,12540556,-11424460,-1644453,-321587,2968930408,49.73,-2673900,4542198,277424
231,20220816,61000,2,800,1.33,15036727,11753171,-11249264,-1216526,23654,2969458335,49.74,-2145973,4398858,268704
232,20220812,60200,2,300,0.50,10786658,13156739,-11285520,-2414721,579386,2968632480,49.73,-2971828,4256856,260177
233,20220811,59900,2,800,1.35,15141941,13459294,-11239533,-2404897,-146874,2968412504,49.72,-3191804,4121562,252105
234,20220810,59100,5,-900,-1.50,18084349,12638395,-12533642,-252994,-642297,2970352957,49.76,-1251351,3839327,235489
235,20220809,60000,5,-800,-1.32,18251170,8338913,-10043526,1727509,1469188,2973957070,49.82,2352762,3486622,214297
236,20220808,60800,5,-700,-1.14,11313150,4752941,-10221741,5549556,1961925,2977890657,49.88,6286349,3177694,195465
237,20220805,61500,3,0,0.00,9567620,2643346,-8363022,5833898,1605744,2977991499,49.88,6387191,2069453,127308
238,20220804,61500,2,200,0.33,9125439,2362526,-8703022,6431020,274761,2978612121,49.89,7007813,1918030,117991
239,20220803,61300,5,-400,-0.65,10053861,2512326,-7943132,5513775,-776243,2977784376,49.88,6180068,1681737,103526
240,20220802,61700,2,400,0.65,13614895,1009607,-6607870,5701995,-213165,2977990096,49.88,6385788,1555450,95804
241,20220801,61300,5,-100,-0.16,13154816,2004122,-4091569,2176593,-2139583,2974186694,49.82,2582386,1369281,84492
242,20220729,61400,5,-500,-0.81,15093120,1473635,-3038194,1622602,-2453377,2973939771,49.82,2335463,678943,41915
243,20220728,61900,2,100,0.16,10745302,238401,-2887326,2630540,-829418,2975485738,49.84,3881430,523771,32276
244,20220727,61800,2,100,0.16,7320997,446970,-2327261,1853423,-1524933,2973391951,49.81,1787643,436702,26927
245,20220726,61700,2,600,0.98,6597211,399096,-2012012,1563414,-1194339,2972792162,49.80,1187854,389076,23993
246,20220725,61100,5,-200,-0.33,9193681,948321,-1614464,614373,-1331590,2972099731,49.79,495423,337887,20852
247,20220722,61300,5,-500,-0.81,10261310,1022114,-1862181,739607,-342577,2972375415,49.79,771107,0,0
