date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value,shcode
20200824,5385,5,-175,-3.15,41660860,2607699,-2829864,116836,0,2598411,2.88,16836,0,0,251340
20200821,5560,5,-25,-0.45,64985147,-935080,1327900,-347930,0,2581575,2.91,-247930,0,0,251340
20200820,5585,2,175,3.23,74493399,-1402760,828121,1030240,0,2829505,3.17,1030240,0,0,251340
20200819,5410,5,-120,-2.17,48321376,3047063,-2638407,-520798,0,1799265,1.99,-520798,0,0,251340
20200818,5530,2,190,3.56,44984490,700687,-883620,-280358,0,2320063,2.62,-280358,0,0,251340
20200814,5340,2,160,3.09,41325531,-2750715,2986526,133073,0,2600421,2.94,133073,0,0,251340
20200813,5180,5,-105,-1.99,33473044,1697437,-2421594,441845,0,2467348,2.77,441845,0,0,251340
20200812,5285,2,110,2.13,39532254,195646,-472055,-123983,0,2025503,2.24,-123983,0,0,251340
20200811,5175,2,20,0.39,18413884,-1823097,1765957,72634,0,2149486,2.37,72634,0,0,251340
20200810,5155,5,-15,-0.29,17373642,-2191327,1787694,399709,0,2076852,2.30,299709,0,0,251340
20200807,5170,5,-35,-0.67,27295577,681112,-478028,-280418,0,1777143,1.95,-380418,0,0,251340
20200806,5205,5,-50,-0.95,25263107,-1435375,1257389,165997,0,2157561,2.35,165997,0,0,251340
20200805,5255,5,-130,-2.41,26523726,-277680,516537,-206510,0,1991564,2.22,-206510,0,0,251340
20200804,5385,5,-45,-0.83,21174917,-1643930,1662390,90185,0,2198074,2.47,90185,0,0,251340
20200803,5430,5,-95,-1.72,28081041,2651741,-3458600,581983,0,2107889,2.35,581983,0,0,251340
20200731,5525,5,-15,-0.27,21797765,2747004,-2209741,-553347,0,1525906,1.70,-653347,0,0,251340
20200730,5540,2,15,0.27,22751046,-1149895,1341959,-159350,0,2179253,2.38,-159350,0,0,251340
20200729,5525,2,10,0.18,23674618,-165871,-352726,598977,0,2338603,2.56,598977,0,0,251340
20200728,5515,5,-80,-1.43,28584152,-1242995,1297184,1386,0,1739626,1.89,1386,0,0,251340
20200727,5595,5,-45,-0.80,23529571,-1943953,1653409,251228,0,1738240,2.00,351228,0,0,251340
20200724,5640,2,55,0.98,38619440,-1736655,2125767,-337117,0,1387012,1.58,-337117,0,0,251340
20200723,5585,5,-85,-1.50,34739987,6233358,-6536984,251113,0,1724129,1.97,251113,0,0,251340
20200722,5670,5,-25,-0.44,22243024,1295655,-585014,-779926,0,1473016,1.68,-779926,0,0,251340
20200721,5695,5,-80,-1.39,22178435,-1337070,1392905,288767,0,2252942,2.58,188767,0,0,251340
20200720,5775,2,10,0.17,20346447,-759337,864624,-5774,0,2064175,2.32,-5774,0,0,251340
20200717,5765,5,-70,-1.20,26284669,1567007,-2075917,453521,0,2069949,2.29,453521,0,0,251340
20200716,5835,2,70,1.21,28242182,-801228,354782,-465847,0,1616428,1.82,-465847,0,0,251340
20200715,5765,5,-25,-0.43,18513051,-2384023,2530027,-171276,0,2082275,2.29,-171276,0,0,251340
20200714,5790,2,30,0.52,28276435,1263528,-1497488,28241,0,2253551,2.54,128241,0,0,251340
20200713,5760,5,-55,-0.95,17993209,-3270376,2932239,618038,0,2125310,2.40,618038,0,0,251340
20200710,5815,5,-5,-0.09,32600828,3017201,-2306876,-765014,0,1507272,1.75,-765014,0,0,251340
20200709,5820,5,-40,-0.68,23064049,-344692,588724,-248138,0,2272286,2.67,-248138,0,0,251340
20200708,5860,5,-40,-0.68,28670761,1765672,-2269893,570652,0,2520424,2.90,570652,0,0,251340
20200707,5900,5,-5,-0.08,31716309,1895638,-1124299,-710483,0,1949772,2.31,-710483,0,0,251340
20200706,5905,5,-55,-0.92,19633103,-2217335,2145129,75476,0,2660255,3.21,75476,0,0,251340
20200703,5960,5,-85,-1.41,27737336,2179570,-2323256,57053,0,2584779,3.07,57053,0,0,251340
20200702,6045,5,-120,-1.95,29654013,2618012,-3091233,393685,0,2527726,2.96,393685,0,0,251340
20200701,6165,2,100,1.65,28675770,-723161,907958,-230450,0,2134041,2.50,-230450,0,0,251340
20200630,6065,5,-30,-0.49,34543427,-941524,1376799,-369892,0,2364491,2.78,-369892,0,0,251340
20200629,6095,2,150,2.52,36086514,-1243894,854571,366461,0,2734383,3.25,466461,0,0,251340
20200626,5945,5,-30,-0.50,29762130,-517176,383307,134889,0,2267922,2.66,134889,0,0,251340
20200625,5975,2,70,1.19,39550628,310001,-368239,39230,0,2133033,2.47,39230,0,0,251340
20200624,5905,5,-25,-0.42,31890890,-2004778,2211045,-97709,0,2093803,2.53,-97709,0,0,251340
20200623,5930,5,-25,-0.42,51971039,-1121386,692192,556380,0,2191512,2.62,556380,0,0,251340
20200622,5955,5,-100,-1.65,40339820,5015252,-5100746,-214717,0,1635132,2.00,-214717,0,0,251340
20200619,6055,5,-30,-0.49,37517233,215510,15820,-359109,0,1849849,2.27,-359109,0,0,251340
20200618,6085,2,15,0.25,41050174,1578389,-2040402,279080,0,2208958,2.68,279080,0,0,251340
20200617,6070,2,25,0.41,72396835,-986832,1190909,85284,0,1929878,2.36,85284,0,0,251340
20200616,6045,5,-460,-7.07,58087551,3129698,-2293230,-1052223,0,1844594,2.26,-1052223,0,0,251340
20200615,6505,2,415,6.81,78837852,-3209307,2385864,861720,0,2896817,3.78,861720,0,0,251340
20200612,6090,2,80,1.33,47477640,-2320227,1833847,490228,0,2035097,2.71,490228,0,0,251340
20200611,6010,2,5,0.08,52892598,5476982,-5754892,-199927,0,1544869,2.05,-199927,0,0,251340
20200610,6005,5,-55,-0.91,22794237,1638683,-1777568,254752,0,1744796,2.25,254752,0,0,251340
20200609,6060,5,-10,-0.16,25646821,435084,-431408,-71071,0,1490044,1.93,-71071,0,0,251340
20200608,6070,5,-40,-0.65,26938362,-40324,517211,-357094,0,1561115,2.03,-357094,0,0,251340
20200605,6110,5,-80,-1.29,25648623,-1624965,1052698,516628,0,1918209,2.42,516628,0,0,251340
20200604,6190,5,-30,-0.48,42715389,1602437,-1028248,-698562,0,1401581,1.77,-698562,0,0,251340
20200603,6220,2,20,0.32,51107787,-4287716,3172371,1136924,0,2100143,2.77,1136924,0,0,251340
20200602,6200,5,-90,-1.43,40258019,-876413,849140,-3854,0,963219,1.33,-3854,0,0,251340
20200601,6290,5,-305,-4.62,47078561,5264844,-4707110,-313971,0,967073,1.36,-313971,0,0,251340
20200529,6595,5,-75,-1.12,49294631,3875185,-3755078,-177096,0,1281044,1.81,-177096,0,0,251340
20200528,6670,2,155,2.38,54999885,-614675,683279,-174865,0,1458140,2.03,-174865,0,0,251340
20200527,6515,2,55,0.85,28214232,303000,-114007,-140221,0,1633005,2.30,-140221,0,0,251340
20200526,6460,5,-105,-1.60,22325497,-1643465,1186739,548179,0,1773226,2.47,548179,0,0,251340
20200525,6565,5,-105,-1.57,23322883,617628,-262899,-518288,0,1225047,1.72,-518288,0,0,251340
20200522,6670,2,80,1.21,39879253,-407552,560076,-152568,0,1743335,2.41,-152568,0,0,251340
20200521,6590,5,-60,-0.90,24056701,1886859,-981219,-542958,0,1895903,2.53,-542958,0,0,251340
20200520,6650,5,-100,-1.48,22231155,1923775,-2105635,180663,0,2438861,3.20,180663,0,0,251340
20200519,6750,5,-70,-1.03,30861245,-3193543,3752199,-843355,0,2258198,2.90,-843355,0,0,251340
20200518,6820,2,65,0.96,26092539,-1783705,1056875,930176,0,3101553,3.99,930176,0,0,251340
20200515,6755,5,-15,-0.22,34128092,-2022425,1815675,354129,0,2171377,2.89,354129,0,0,251340
20200514,6770,2,25,0.37,41677713,334076,543782,-854303,0,1817248,2.45,-854303,0,0,251340
20200513,6745,5,-90,-1.32,39761612,1242556,-2645118,1156814,0,2671551,3.81,1156814,0,0,251340
20200512,6835,2,20,0.29,45113863,-1369140,1041191,488996,0,1514737,2.24,488996,0,0,251340
20200511,6815,5,-20,-0.29,47734018,4152439,-3452933,-974597,0,1025741,1.55,-974597,0,0,251340
20200508,6835,5,-210,-2.98,32253449,3187790,-2874656,-377217,0,2000338,3.06,-377217,0,0,251340
20200507,7045,5,-75,-1.05,30557925,244127,-1275782,1063867,0,2377555,3.88,1063867,0,0,251340
20200506,7120,5,-225,-3.06,25196661,2549551,-1493188,-1081337,0,1313688,2.11,-1081337,0,0,251340
20200504,7345,2,65,0.89,44463564,5445074,-4438927,-1268812,0,2395025,3.75,-1268812,0,0,251340
20200429,7280,2,20,0.28,26942447,-1642378,976949,634189,0,3663837,5.79,634189,0,0,251340
20200428,7260,2,35,0.48,39225705,-1422171,927812,476457,0,3029648,4.86,476457,0,0,251340
20200427,7225,5,-165,-2.23,30048539,208440,-86602,-121273,0,2553191,4.07,-121273,0,0,251340
20200424,7390,2,120,1.65,51953817,954555,-778612,-136385,0,2674464,4.21,-136385,0,0,251340
20200423,7270,5,-45,-0.62,29295375,-937361,820334,217953,0,2810849,4.30,217953,0,0,251340
20200422,7315,5,-85,-1.15,46049049,1344731,-751959,-976536,0,2592896,4.00,-976536,0,0,251340
20200421,7400,2,70,0.95,97824859,-3288522,2302943,1133298,0,3569432,5.30,1133298,0,0,251340
20200420,7330,2,50,0.69,49258477,3295169,-2271825,-1127821,0,2436134,3.92,-1127821,0,0,251340
20200417,7280,5,-125,-1.69,44032127,-5722425,5240550,540011,0,3563955,5.90,540011,0,0,251340
20200416,7405,5,-200,-2.63,55374520,3187950,-4039646,989031,0,3023944,5.31,989031,0,0,251340
20200414,7605,5,-225,-2.87,48167572,2139897,-2271758,-253012,0,2034913,4.09,-253012,0,0,251340
20200413,7830,2,195,2.55,58436262,2929125,-2859054,-71745,0,2287925,4.92,-71745,0,0,251340
20200410,7635,2,35,0.46,79396378,4974893,-6326001,1194400,0,2359670,5.26,1194400,0,0,251340
20200409,7600,5,-55,-0.72,42695944,3953520,-3398115,-372660,0,1165270,2.79,-372660,0,0,251340
20200408,7655,2,65,0.86,46917731,2523993,-2373245,-104725,0,1537930,3.71,-104725,0,0,251340
20200407,7590,5,-50,-0.65,63351290,1267420,-1917666,498369,0,1642655,4.15,498369,0,0,251340
