date,close,sign,change,diff,volume,krx_0008,krx_0018,krx_0009,pgmvol,fsc_listing,fsc_sjrate,fsc_0009,gm_volume,gm_value
20210525,4655,5,-95,-2.00,25382339,797328,-759967,25442,0,4195399,4.48,25442,0,0
20210524,4750,2,90,1.93,20038076,-351975,-228150,535147,0,4169957,4.48,535147,0,0
20210521,4660,2,30,0.65,28757259,-2429365,2699181,-289924,0,3634810,3.93,-289924,0,0
20210520,4630,5,-10,-0.22,34104019,1947712,-1852532,-102777,0,3924734,4.30,-102777,0,0
20210518,4640,5,-60,-1.28,26001394,1158268,-478854,-256024,0,4027511,4.50,-256024,0,0
20210517,4700,3,0,0.00,39250103,-725753,-816314,1403305,0,4283535,4.68,1403305,0,0
20210514,4700,5,-115,-2.39,34204142,3217388,-3138995,-450475,0,2880230,3.10,-450475,0,0
20210513,4815,2,75,1.58,44731071,-3183620,3608585,-51442,0,3330705,3.60,-51442,0,0
20210512,4740,2,60,1.28,46390952,-1675768,1932603,-256035,0,3382147,3.63,-256035,0,0
20210511,4680,2,110,2.41,34251069,-1046701,826925,165310,0,3638182,3.94,165310,0,0
20210510,4570,5,-105,-2.25,29199652,2069635,-1678059,-324620,0,3472872,3.68,-324620,0,0
20210507,4675,5,-55,-1.16,36904102,1867290,-2225423,120486,0,3797492,3.94,120486,0,0
20210506,4730,2,10,0.21,35722075,-2052370,2281841,-177150,0,3677006,3.72,-177150,0,0
20210504,4720,5,-45,-0.94,87382293,1516482,-2146443,262091,0,3854156,3.96,262091,0,0
20210503,4765,2,130,2.80,71526129,-5482968,5384466,540598,0,3592065,3.70,540598,0,0
20210430,4635,2,25,0.54,67061331,1386955,-1380697,-153828,0,3051467,3.10,-153828,0,0
20210429,4610,2,60,1.32,47686804,-1222612,733099,184634,0,3205295,3.18,184634,0,0
20210428,4550,2,130,2.94,24986334,-3774081,3981311,-121254,0,3020661,3.01,-121254,0,0
20210427,4420,2,60,1.38,15935212,-2087923,1930488,119385,0,3141915,3.16,119385,0,0
20210426,4360,5,-15,-0.34,19496413,-1655376,1725489,-46681,0,3022530,3.07,-46681,0,0
20210423,4375,3,0,0.00,32865515,2400190,-2266545,-61376,0,3069211,3.14,-61376,0,0
20210422,4375,5,-10,-0.23,20547303,-48972,350799,-334348,0,3130587,3.16,-334348,0,0
20210421,4385,2,65,1.50,30234640,236815,-60175,-188742,0,3464935,3.53,-188742,0,0
20210420,4320,2,20,0.47,19751363,-2931334,2688861,237901,0,3653677,3.76,237901,0,0
20210419,4300,5,-55,-1.26,30517904,2504162,-2665932,40670,0,3415776,3.53,40670,0,0
20210416,4355,5,-35,-0.80,23816051,2193362,-1275619,-464135,0,3375106,3.50,-464135,0,0
20210415,4390,2,5,0.11,24566266,-1632859,2144068,-519280,0,3839241,4.08,-519280,0,0
20210414,4385,5,-10,-0.23,26218550,-1034531,1030335,96308,0,4358521,4.75,96308,0,0
20210413,4395,5,-75,-1.68,32794962,1086374,-1596992,510184,0,4262213,4.68,510184,0,0
20210412,4470,5,-45,-1.00,20891533,3823093,-3671454,-195408,0,3752029,4.14,-195408,0,0
20210409,4515,5,-25,-0.55,23516749,1778582,-1547039,-278932,0,3947437,4.38,-278932,0,0
